StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
117639,118006,224224,,,,,23.93553867,-18.00679640,757.575757575758,6.04,-10.97,,9.15,-0.247130343970751,A7/A8V,0.214,720.36699,-12.15802,-234.18924,-1.2077e-05,2.2388e-05,-3.8314e-05
117640,118007,224213,,,,,23.93574355,-62.87241552,145.772594752187,8.03,8.83,,7.07,1.25162057853376,A9V,0.279,66.45902,-1.11809,-129.73664,5.648e-06,5.58e-06,2.845e-06
117641,118008,224228,,NN 4377,,,23.93625505,-39.05188419,22.0848056537102,205.90,-185.07,,8.24,6.51953209090107,K3V,0.973,17.14813,-0.2862,-13.91395,-1.2113e-05,2.2249e-05,-1.5386e-05
117642,118009,224230,,,,,23.93632235,-72.00193794,48.9476260401371,-259.09,-99.40,,9.97,6.52134183316224,K3V:,0.967,15.12197,-0.25211,-46.55247,-2.3453e-05,-6.1095e-05,-7.287e-06
117643,118010,224233,,,,,23.93644728,59.76692008,49.9750124937531,195.30,282.18,,7.67,4.17623544318106,G0,0.638,25.15987,-0.41865,43.17762,-5.8268e-05,4.829e-05,3.4421e-05
117644,118011,224239,,,,,23.93761609,-13.51118316,271.739130434783,7.72,-13.62,,8.95,1.77923909336759,F2V,0.395,264.18333,-4.31504,-63.48781,-4.025e-06,1.0236e-05,-1.7445e-05
117645,118012,240450,,,,,23.93762413,60.29254888,370.37037037037,5.05,-5.58,,8.72,0.876818820794937,B8V,0.260,183.52057,-2.99715,321.6915,8.848e-06,8.923e-06,-4.964e-06
117646,118013,224251,,,,,23.93832836,04.62656706,106.837606837607,63.83,-31.53,,9.05,3.90637924369053,G0,0.653,106.4756,-1.71926,8.61763,1.85e-06,3.3033e-05,-1.6276e-05
117647,118014,224272,,,,,23.93869379,74.13778580,197.628458498024,-13.00,-3.46,,7.83,1.350752584199,K2,1.133,54.00982,-0.86692,190.10311,2.988e-06,-1.2504e-05,-9.06e-07
117648,118018,224229,,,,,23.93871148,-70.86878367,194.931773879142,9.08,-2.20,,9.56,3.11058682555908,F5V,0.454,63.87729,-1.02501,-184.16578,-1.826e-06,8.61e-06,-6.81e-07
117649,118015,224250,,,,,23.93877358,10.01223322,204.081632653061,1.57,-5.72,,7.36,0.81098040014257,A2,0.219,200.94778,-3.22127,35.48131,1.008e-06,1.537e-06,-5.572e-06
117650,118016,224259,,,,,23.93885577,20.20901374,342.465753424658,19.62,4.82,,8.46,0.786914257242094,K2,1.248,321.34193,-5.14432,118.30336,-2.242e-06,3.2612e-05,7.509e-06
117651,118017,224241,,,,,23.93905832,-46.56983568,165.837479270315,-1.03,4.63,,9.26,3.16158656070076,A9/F0V,0.345,113.99377,-1.81886,-120.4333,2.689e-06,-8.71e-07,2.558e-06
117652,118019,224260,,,,,23.93922622,10.91946728,87.9507475813544,-107.19,-87.81,,8.39,3.66880232343867,F8,0.512,86.34741,-1.37395,16.66042,6.363e-06,-4.5808e-05,-3.676e-05
117653,118020,224253,,,,,23.93930541,-09.49899672,51.2295081967213,-269.71,-66.52,,8.20,4.65239906665336,G5+...,0.778,50.52069,-0.80283,-8.45442,-3.79e-06,-6.6929e-05,-1.6293e-05
117654,118021,224246,,,,,23.94001742,-71.29408942,301.204819277108,-22.46,-13.71,,10.28,2.88569041852018,F0V,0.330,96.58769,-1.51688,-285.29433,-1.9473e-05,-3.2493e-05,-6.42e-06
117655,118022,240451,,,,,23.94008024,56.03260317,110.497237569061,203.12,63.83,,8.27,3.05324289602602,F8,0.546,61.72953,-0.96842,91.6415,-2.6646e-05,0.000109234,1.9103e-05
117656,118023,224257,,,,,23.94026894,55.99035365,10000000,-3.18,-0.50,,7.99,-7.01,B0IV,-0.063,5592640.87379,-87462.39825,8289434.14146,0,0,0
